id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
20|Budapest XII. kerület, Rácz Aladár út 102/A|268 M Ft|1 218 181 Ft / m2|220 m2|220 m2|7 + 1 fél|16|https://ingatlan.com/34106741
21|Budapest XII. kerület, György Aladár utca|299 M Ft|2 020 270 Ft / m2|148 m2|580 m2||16|https://ingatlan.com/34656767
22|Budapest XII. kerület, Diós árok|300 M Ft|1 200 000 Ft / m2|250 m2|250 m2|5 + 3 fél|17|https://ingatlan.com/34365541
23|Budapest XII. kerület, Mártonhegyi út|960 M Ft|2 742 857 Ft / m2|350 m2|350 m2||20|https://ingatlan.com/34710557
24|Budapest XII. kerület, Csillagvölgyi út|795 M Ft|3 581 081 Ft / m2|222 m2|222 m2||20|https://ingatlan.com/34422905
25|Budapest XII. kerület, Mártonhegyi út|785 M Ft|2 230 113 Ft / m2|352 m2|352 m2||18|https://ingatlan.com/34827156
26|Budapest XII. kerület, Pillangó ösvény|39,99 M Ft|1 142 571 Ft / m2|35 m2|252 m2|1 + 1 fél|14|https://ingatlan.com/34334500
27|Budapest XII. kerület, Rácz Aladár út 4/B|252 M Ft|1 750 000 Ft / m2|144 m2|238 m2|4 + 1 fél|22|https://ingatlan.com/34649519
28|Budapest XII. kerület, Nógrádi utca|322 M Ft|1 288 000 Ft / m2|250 m2|250 m2|5 + 2 fél|20|https://ingatlan.com/34608483
29|Budapest XII. kerület, Zugligeti út|355 M Ft|1 584 821 Ft / m2|224 m2|224 m2||15|https://ingatlan.com/34914598
30|Budapest XII. kerület, Tamási Áron utca|369,90 M Ft|1 293 356 Ft / m2|286 m2|286 m2|6 + 3 fél|8|https://ingatlan.com/34843757
31|Budapest XII. kerület, Ordas köz|737 M Ft|2 186 943 Ft / m2|337 m2|337 m2|5 + 1 fél|20|https://ingatlan.com/34831302
32|Budapest XII. kerület, Méra utca|165 M Ft|1 375 000 Ft / m2|120 m2|125 m2||19|https://ingatlan.com/34795480
33|Budapest XII. kerület, Ibolya ösvény|145 M Ft|1 450 000 Ft / m2|100 m2|590 m2||20|https://ingatlan.com/34785359
34|Budapest XII. kerület, Diana utca|338 M Ft|979 710 Ft / m2|345 m2|345 m2||19|https://ingatlan.com/34702342
35|Budapest XII. kerület, Magas út|159,50 M Ft|1 329 166 Ft / m2|120 m2|689 m2||23|https://ingatlan.com/34671034
36|Budapest XII. kerület, Svábhegy|680 M Ft|2 956 521 Ft / m2|230 m2|230 m2||3|https://ingatlan.com/34831107
37|Budapest XII. kerület, Farkasvölgy|1,50 Mrd Ft|2 828 301 Ft / m2|530 m2|530 m2||20|https://ingatlan.com/34930964
38|Budapest XII. kerület, Kútvölgy|578,22 M Ft|922 195 Ft / m2|627 m2|627 m2||22|https://ingatlan.com/34689787
39|Budapest XII. kerület, Kútvölgy|275 M Ft|1 222 222 Ft / m2|225 m2|225 m2||22|https://ingatlan.com/34578013
40|Budapest XII. kerület, Svábhegy|299 M Ft|1 150 000 Ft / m2|260 m2|260 m2||24|https://ingatlan.com/34589806
41|Budapest XII. kerület, Virányos|369 M Ft|1 716 279 Ft / m2|215 m2|215 m2||5|https://ingatlan.com/34736356
42|Budapest XII. kerület, Orbánhegy|1,16 Mrd Ft|1 450 000 Ft / m2|800 m2|800 m2||13|https://ingatlan.com/34612629
